Package Name,Version,License (SPDX),Permissive?,Source,Dependency Type,Repository URL,Description,Notes
aho-corasick,1.1.4,Unlicense OR MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/BurntSushi/aho-corasick,Fast multiple substring searching.,
anyhow,1.0.100,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/anyhow,Flexible concrete Error type built on std::error::Error,
arrayvec,0.7.6,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/bluss/arrayvec,"A vector with fixed capacity, backed by an array (it can be stored on the stack too). Implements fixed capacity ArrayVec and ArrayString.",
awint,0.18.1,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/AaronKutch/awint,Arbitrary width integers,
awint_core,0.18.1,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/AaronKutch/awint,Core no-std and no-alloc `awint` functionality,
awint_dag,0.18.1,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/AaronKutch/awint,DAG `awint` functionality,
awint_ext,0.18.1,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/AaronKutch/awint,Externally allocating `awint` functionality,
awint_internals,0.18.1,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/AaronKutch/awint,Internal utilities for the `awint` system of crates,
awint_macro_internals,0.18.1,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/AaronKutch/awint,Internal macro utilities for the `awint` system of crates,
awint_macros,0.18.1,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/AaronKutch/awint,Accompanying procedural macros to `awint`,
bindgen,0.72.1,BSD-3-Clause,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-lang/rust-bindgen,Automatically generates Rust FFI bindings to C and C++ libraries.,Build-time only: generates FFI bindings for libmathdx-sys.
bitflags,2.10.0,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/bitflags/bitflags,A macro to generate structures which behave like bitflags.,
bytes,1.11.0,MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/tokio-rs/bytes,Types and traits for working with bytes,
cexpr,0.6.0,Apache-2.0/MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/jethrogb/rust-cexpr,A C expression parser and evaluator,
cfg-if,1.0.4,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-lang/cfg-if,"A macro to ergonomically define an item depending on a large number of #[cfg] parameters. Structured like an if-else chain, the first matching branch is the item that gets emitted.",
clang-sys,1.8.1,Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/KyleMayes/clang-sys,Rust bindings for libclang.,Build-time only: used by bindgen for libclang access.
combine,4.6.7,MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/Marwes/combine,Fast parser combinators on arbitrary streams with zero-copy support.,
const_fn,0.4.11,Apache-2.0 OR MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/taiki-e/const_fn,A lightweight attribute for easy generation of const functions with conditional compilations.,
convert_case,0.10.0,MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rutrum/convert-case,Convert strings into any case,
crunchy,0.2.4,MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/eira-fransham/crunchy,Crunchy unroller: deterministically unroll constant loops,
cuda-device,0.1.0,Apache-2.0,Yes,local (workspace),NVIDIA Proprietary (workspace),https://github.com/NVlabs/cuda-oxide.git,Device-side intrinsics and types for CUDA kernels in Rust,
cuda-core,0.1.0,Apache-2.0,Yes,local (workspace),NVIDIA Proprietary (workspace),https://github.com/NVlabs/cuda-oxide.git,Safe RAII wrappers around the CUDA driver API (idiomatic host-side CUDA),
cuda-host,0.1.0,Apache-2.0,Yes,local (workspace),NVIDIA Proprietary (workspace),https://github.com/NVlabs/cuda-oxide.git,Host-side utilities for CUDA kernel development,
cuda-macros,0.1.0,Apache-2.0,Yes,local (workspace),NVIDIA Proprietary (workspace),https://github.com/NVlabs/cuda-oxide.git,"Procedural macros for CUDA kernel development (#[kernel], #[device], etc.)",
llvm-export,0.1.0,Apache-2.0,Yes,local (workspace),NVIDIA Proprietary (workspace),https://github.com/NVlabs/cuda-oxide.git,Re-exports pliron-llvm and emits the LLVM dialect as textual LLVM IR,
dialect-mir,0.1.0,Apache-2.0,Yes,local (workspace),NVIDIA Proprietary (workspace),https://github.com/NVlabs/cuda-oxide.git,MIR dialect for pliron MLIR framework (Rust MIR representation),
